partition,group,zones,boxes,cargo_kg,transport_sorties,relay_sorties,work_seconds,energy_kwh,need_A_aircraft,occupancy_A_aircraft,need_B_aircraft,occupancy_B_aircraft,need_C_aircraft,occupancy_C_aircraft,need_A_batteries,occupancy_A_batteries,need_B_batteries,occupancy_B_batteries,need_C_batteries,occupancy_C_batteries,need_relay_aircraft,occupancy_relay_aircraft,need_relay_components,occupancy_relay_components
P1245_3,G2,S003|S005|S007|S015,22,210.0,9,2,23813.672936799398,27.41605902985961,3,0.37378206792512914,0,0.0,1,0.3704012300901988,4,0.45751464758276283,0,0.0,1,0.7390207418410526,1,0.6314698594896296,1,0.7308035288872365
P124_35,G1,S001|S002|S004|S006|S008|S009|S010|S012|S013|S014,55,523.0,17,2,39184.59299374002,49.05146459014196,2,0.3582338801426074,2,0.7921597703028884,2,0.4782764682467912,4,0.2931593090790055,4,0.7664320765499629,4,0.4983762249485094,2,0.5389879655532389,2,0.6198352357582508
P124_35,G2,S003|S005|S007|S011|S015,25,235.0,10,2,25093.123807659533,29.32193807751598,3,0.37378206792512914,0,0.0,2,0.2408364921628333,4,0.45751464758276283,0,0.0,2,0.4838285417675113,1,0.6314698594896296,1,0.7308035288872365
P124_3_5,G1,S001|S002|S004|S006|S008|S009|S010|S012|S013|S014,55,523.0,17,2,39184.59299374002,49.05146459014196,2,0.3582338801426074,2,0.7921597703028884,2,0.4782764682467912,4,0.2931593090790055,4,0.7664320765499629,4,0.4983762249485094,2,0.5389879655532389,2,0.6198352357582508
P124_3_5,G2,S003|S005|S007|S015,22,210.0,9,2,23813.672936799398,27.41605902985961,3,0.37378206792512914,0,0.0,1,0.3704012300901988,4,0.45751464758276283,0,0.0,1,0.7390207418410526,1,0.6314698594896296,1,0.7308035288872365
P124_3_5,G3,S011,3,25.0,1,0,1279.450870860137,1.9058790476563696,0,0.0,0,0.0,1,0.4866757113547819,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0
P125_34,G1,S001|S002|S004|S008|S009|S010|S011|S012|S013|S014,52,489.0,16,2,37714.99456730518,47.332222148610995,2,0.2865310264446478,2,0.7921597703028884,2,0.46990845355212374,3,0.31068211872522905,4,0.7664320765499629,4,0.4915152595808697,2,0.5389879655532389,2,0.6198352357582508
P125_34,G2,S003|S005|S006|S007|S015,28,269.0,11,2,26562.722234094377,31.041180519046943,3,0.41193260411011634,0,0.0,1,0.4950299526026978,4,0.5055183388858101,0,0.0,2,0.4947799681343616,1,0.6314698594896296,1,0.7308035288872365
P125_3_4,G1,S001|S002|S004|S008|S009|S010|S011|S012|S013|S014,52,489.0,16,2,37714.99456730518,47.332222148610995,2,0.2865310264446478,2,0.7921597703028884,2,0.46990845355212374,3,0.31068211872522905,4,0.7664320765499629,4,0.4915152595808697,2,0.5389879655532389,2,0.6198352357582508
P125_3_4,G2,S003|S005|S007|S015,22,210.0,9,2,23813.672936799398,27.41605902985961,3,0.37378206792512914,0,0.0,1,0.3704012300901988,4,0.45751464758276283,0,0.0,1,0.7390207418410526,1,0.6314698594896296,1,0.7308035288872365
