sortie,phase,phase_index,start,end,mode,margin_lower_db,proof
T005,climb,8,3160.4670831410663,3191.03977601216,relay,1.3848001158849712,clear_swept_triangle
T005,cruise,9,3191.03977601216,3268.490486932046,relay,1.392408259289482,clear_swept_triangle
T005,cruise,9,3268.490486932046,3345.941197851933,relay,2.918445379831354,clear_swept_triangle
T005,cruise,9,3345.941197851933,3423.3919087718195,relay,4.690258046078867,clear_swept_triangle
T005,cruise,9,3423.3919087718195,3500.842619691706,relay,6.228209868327127,clear_swept_triangle
T005,cruise,9,3500.842619691706,3810.645463371252,direct,0.5319038152765074,obstruction_bound
T005,descent,10,3810.645463371252,3884.0526948165643,direct,27.67445965789763,obstruction_bound
T006,climb,0,360.0,459.796787516276,direct,23.02154674108874,obstruction_bound
T006,cruise,1,459.796787516276,768.065093438268,direct,0.5584845607324098,obstruction_bound
T006,cruise,1,768.065093438268,845.1321699187661,relay,0.7190288162332621,clear_swept_triangle
T006,cruise,1,845.1321699187661,922.199246399264,relay,0.7190288162332621,clear_swept_triangle
T006,cruise,1,922.199246399264,999.266322879762,relay,0.7190288162332621,clear_swept_triangle
T006,cruise,1,999.266322879762,1076.33339936026,relay,0.637934877767222,clear_swept_triangle
T006,descent,2,1076.33339936026,1135.2495443797914,relay,0.6259975025066637,clear_swept_triangle
T006,handoff,3,1135.2495443797914,1240.2495443797914,relay,0.6259975025066637,clear_swept_triangle
T006,handoff,3,1240.2495443797914,1345.2495443797914,relay,0.6259975025066637,clear_swept_triangle
T006,climb,4,1345.2495443797914,1394.3463318960673,relay,0.6259975025066637,clear_swept_triangle
T006,cruise,5,1394.3463318960673,1471.4134083765653,relay,0.637934877767222,clear_swept_triangle
T006,cruise,5,1471.4134083765653,1548.4804848570634,relay,0.7190288162332621,clear_swept_triangle
T006,cruise,5,1548.4804848570634,1625.5475613375613,relay,0.7190288162332621,clear_swept_triangle
T006,cruise,5,1625.5475613375613,1702.6146378180592,relay,0.7190288162332621,clear_swept_triangle
T006,cruise,5,1702.6146378180592,2010.8829437400514,direct,0.5584845607324098,obstruction_bound
T006,descent,6,2010.8829437400514,2130.6390887595826,direct,23.02154674108874,obstruction_bound
T007,climb,0,390.0,438.45220336914065,direct,29.982830377148545,obstruction_bound
T007,cruise,1,438.45220336914065,693.736127946707,direct,2.214414711067704,obstruction_bound
T007,descent,2,693.736127946707,729.3587719896758,direct,2.214414711067704,obstruction_bound
T007,handoff,3,729.3587719896758,969.3587719896758,direct,2.2210711303767283,obstruction_bound
T007,climb,4,969.3587719896758,999.0443086921498,direct,2.214414711067704,obstruction_bound
T007,cruise,5,999.0443086921498,1254.3282332697163,direct,2.214414711067704,obstruction_bound
T007,descent,6,1254.3282332697163,1312.470877312685,direct,29.982830377148545,obstruction_bound
T008,climb,0,390.0,492.6455118815104,direct,22.759839664518097,obstruction_bound
T008,cruise,1,492.6455118815104,651.9266219271027,direct,4.317880047245723,obstruction_bound
T008,cruise,1,651.9266219271027,731.5671769498988,direct,0.8308139457687957,obstruction_bound
T008,cruise,1,731.5671769498988,811.207731972695,relay,0.7190288162332621,clear_swept_triangle
T008,descent,2,811.207731972695,844.8223462305075,relay,0.7190288162332621,clear_swept_triangle
T008,handoff,3,844.8223462305075,964.8223462305075,relay,0.7190288162332621,clear_swept_triangle
T008,handoff,3,964.8223462305075,1084.8223462305075,relay,0.7190288162332621,clear_swept_triangle
T008,climb,4,1084.8223462305075,1112.8345247786847,relay,0.7190288162332621,clear_swept_triangle
